Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
16,17697;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.70, 337.43, 354.79)
16,17697;Left Hand Presence Physics;(-0.08, 0.69, 5.64);(38.11, 309.44, 347.73)
16,17697;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,17697;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
16,17697;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
16,67834;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.54, 337.36, 354.68)
16,67834;Left Hand Presence Physics;(-0.10, 0.69, 5.64);(40.21, 304.42, 342.65)
16,67834;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.54, 337.36, 354.68)
16,67834;Left Hand Presence Physics;(-0.10, 0.69, 5.64);(40.21, 304.42, 342.65)
16,67834;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,67834;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
16,67834;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
17,1793;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.37, 337.38, 354.61)
17,1793;Left Hand Presence Physics;(-0.08, 0.70, 5.65);(40.37, 308.37, 339.67)
17,1793;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.37, 337.38, 354.61)
17,1793;Left Hand Presence Physics;(-0.08, 0.70, 5.65);(40.37, 308.37, 339.67)
17,1793;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17,1793;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
17,1793;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
28,67133;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);True
17,68009;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.41, 337.25, 354.70)
17,68009;Left Hand Presence Physics;(-0.07, 0.71, 5.66);(41.81, 320.43, 1.68)
17,68009;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.41, 337.25, 354.70)
17,68009;Left Hand Presence Physics;(-0.07, 0.71, 5.66);(41.81, 320.43, 1.68)
17,68009;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17,68009;Metal Cube;(-0.07, 0.66, 5.67);(349.33, 345.67, 16.14);True
17,68009;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
18,18121;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.35, 337.23, 354.74)
18,18121;Left Hand Presence Physics;(-0.06, 0.84, 5.69);(354.22, 312.06, 310.49)
18,18121;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.35, 337.23, 354.74)
18,18121;Left Hand Presence Physics;(-0.06, 0.84, 5.69);(354.22, 312.06, 310.49)
18,18121;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
18,18121;Metal Cube;(-0.11, 0.82, 5.71);(349.34, 9.90, 308.24);True
18,18121;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
18,68216;Right Hand Presence Physics;(0.61, 1.18, 5.76);(328.61, 332.02, 358.06)
18,68216;Left Hand Presence Physics;(0.36, 1.17, 5.73);(338.03, 17.98, 344.82)
18,68216;Right Hand Presence Physics;(0.61, 1.18, 5.76);(328.61, 332.02, 358.06)
