Timestamp;Name;Position;Rotation;Grabbed
23.02753;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
23.02753;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
23.52801;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.52801;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.52801;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.52801;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.52801;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
23.52801;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
24.0291;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.0291;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.0291;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
24.0291;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
