Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
22,40781;Left Hand Presence Physics;(0.19, 0.72, 5.55);(338.27, 353.58, 329.90)
22,40781;Sponge Cube;(0.17, 0.70, 5.62);(292.65, 180.28, 212.77);False;
22,90882;Right Hand Presence Physics;(0.31, 0.79, 5.62);(318.10, 298.75, 27.58)
22,90882;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.97, 352.75, 330.19)
22,90882;Right Hand Presence Physics;(0.31, 0.79, 5.62);(318.10, 298.75, 27.58)
22,90882;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.97, 352.75, 330.19)
22,90882;Sponge Cube;(0.17, 0.70, 5.63);(290.81, 163.58, 229.37);False;
23,40994;Right Hand Presence Physics;(0.27, 0.75, 5.65);(321.20, 303.73, 40.03)
23,40994;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.70, 352.98, 330.14)
23,40994;Right Hand Presence Physics;(0.27, 0.75, 5.65);(321.20, 303.73, 40.03)
23,40994;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.70, 352.98, 330.14)
23,40994;Sponge Cube;(0.18, 0.71, 5.63);(291.08, 163.72, 229.45);False;
23,91117;Right Hand Presence Physics;(0.27, 0.75, 5.63);(324.61, 297.62, 39.58)
23,91117;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.58, 352.88, 330.19)
23,91117;Right Hand Presence Physics;(0.27, 0.75, 5.63);(324.61, 297.62, 39.58)
23,91117;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.58, 352.88, 330.19)
23,91117;Sponge Cube;(0.18, 0.71, 5.63);(291.21, 163.80, 229.27);False;
24,41263;Right Hand Presence Physics;(0.28, 0.76, 5.63);(323.29, 298.98, 38.34)
24,41263;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.48, 353.06, 330.28)
24,41263;Right Hand Presence Physics;(0.28, 0.76, 5.63);(323.29, 298.98, 38.34)
24,41263;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.48, 353.06, 330.28)
24,41263;Sponge Cube;(0.18, 0.71, 5.63);(291.30, 164.25, 229.02);False;
24,91395;Right Hand Presence Physics;(0.29, 0.77, 5.65);(320.03, 307.76, 30.75)
24,91395;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.60, 353.57, 329.92)
24,91395;Right Hand Presence Physics;(0.29, 0.77, 5.65);(320.03, 307.76, 30.75)
24,91395;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.60, 353.57, 329.92)
24,91395;Sponge Cube;(0.18, 0.71, 5.63);(291.23, 163.72, 229.99);False;
25,41496;Right Hand Presence Physics;(0.30, 0.77, 5.62);(323.78, 297.88, 37.24)
25,41496;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.40, 353.33, 330.01)
25,41496;Right Hand Presence Physics;(0.30, 0.77, 5.62);(323.78, 297.88, 37.24)
25,41496;Left Hand Presence Physics;(0.19, 0.73, 5.55);(337.40, 353.33, 330.01)
25,41496;Sponge Cube;(0.18, 0.71, 5.63);(291.42, 163.84, 229.64);False;
